Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
Suomityttö oliivimetsässä ;Lehto, Lenita ;9789523185999;68;5;10;4.5
Minecraft : rakennusopas ;Needler, Mathew ;9789522338907;68;16;0;4.3
Neuleiden neljä vuodenaikaa ;Isager, Helga ;9789523001473;68;18;0;3.8
Hyvän elämän filosofiaa ;Niiniluoto, Ilkka ;9789522222404;68;21;0;3.2
Mummoillen : henkisen mummon käsikirja ;Sivonen, Henna-Kaisa ;9789512098583;68;34;0;2.0
The developing person through the life span ;Berger, Kathleen Stassen ;9781429283816;67;3;0;22.3
Vihermehu : luonnollinen energiajuoma ;Lange, Tara ;9789522604026;67;14;0;4.8
Fidel Castron salattu elämä ;Sánchez, Juan Reinaldo ;9789523001695;66;31;0;2.1
Yksin : romaani ;Hämäläinen, Karo ;9789510413036;66;37;0;1.8
Suljettu talveksi ;Horst, Jørn Lier ;9789525701418;66;41;0;1.6
Ei pakotietä ;Crouch, Blake ;9789513185237;66;56;0;1.2
Richard McCormick's Pariisi ;McCormick, Richard ;9789513185688;65;11;0;5.9
Grey ;James, E. L. ;9781101946343;65;18;0;3.6
Rakkauden periaate : stressistä menestykseen 40 päivässä ;Loyd, Alexander ;9789522602794;65;21;0;3.1
Tuliristi ;Gabaldon, Diana ;9512069903;65;22;0;3.0
Hävitys ;VanderMeer, Jeff ;9789520112882;65;37;0;1.8
Kale : kaikkea hyvää lehtikaalista ;Korpela, Salla ;9789522990709;65;48;0;1.4
Kasvatussosiologia ;Antikainen, Ari ;9789524515924;64;28;0;2.3
Soutaminen ;Leikas, Antti ;9789522341952;64;40;0;1.6
Fundamentals of cognition ;Eysenck, Michael W. ;9781848720718;63;10;0;6.3
Markkinointi boksin ulkopuolelta ;Ahonen, Laura ;9789521424809;63;11;0;5.7
Kasvikset - lisukkeena & pääruokana ;Myllymäki, Tommy ;9789513184995;63;19;0;3.3
Olavi Virta : hurmiosta turmioon ;Nyberg, Hannu ;9789522644404;63;34;0;1.9
Ihmisen psykologinen kehitys ;;9510292931;63;41;0;1.5
Minecraft : taisteluopas ;Milton, Stephanie ;9789522338914;62;16;0;3.9
Flash boys : kapina Wall Streetillä ;Lewis, Michael ;9789513182069;62;33;0;1.9
Viiltäjä-Jack : kuinka paljastimme murhaajan ;Edwards, Russell ;9789512400140;62;43;0;1.4
Kuolema Ehtoolehdossa ;Lindgren, Minna ;9789518516593;62;56;0;1.1
Kliininen hoitotyö : sisätauteja, kirurgisia sairauksia ja syöpätauteja sairastavan hoito ;;9789526302782;61;14;0;4.4
Liikuntaravitsemus : tehoa, tuloksia ja terveyttä ruuasta ;;9789519147703;61;14;0;4.4
Varjominä : löydä kätketty voimasi ;Chopra, Deepak ;9789522603166;61;19;0;3.2
Taivas+helvetti. Vol. 2 : Ilman toista ei ole toisen menestystä ;Puustinen, Terho ;9789526794648;61;21;0;2.9
Sinun vallassasi ;Day, Sylvia ;9789513185565;61;27;0;2.3
Suomi sodan jälkeen : pelon, katkeruuden ja toivon vuodet 1944-1949 ;Holmila, Antero ;9789523001121;61;29;0;2.1
Tommy Hellsten : ihmisyyden matkamies ;Sarlin, Tommi ;9789522881557;61;43;0;1.4
"Rakastuneet kilpakumppanit / Nora Roberts ; suomentanut Päivi Paju ";Roberts, Nora ;9789164094438;60;1;3.0
Mikään ei ole totta ja kaikki on mahdollista : uuden Venäjän surrealistinen sydän ;Pomerantsev, Peter ;9789520112561;60;8;0;7.5
Tässä ja nyt : yksinkertaisia harjoituksia arkipäivän haasteisiin ;Siegel, Ronald D. ;9789522603210;60;12;0;5.0
Opas yksilölliseen motivointiin : 16 perustarvetta johtamisen apuna ;Mayor, Päivi ;9789521424861;60;16;0;3.8
Ihmisten asiat ;Lassila, Pertti ;9789518515190;60;26;0;2.3
FODMAP : vatsavaivat kuriin ruokavaliolla ;;9789522402585;60;28;0;2.1
Mökin keittokirja ;Lindström, Meri-Tuuli ;9789510409589;60;31;0;1.9
Pääkallosotilas : SS-vapaaehtoiseksi 16-vuotiaana ;Lempinen, Olavi ;9789511290988;60;32;1;1.8
Paras ;Larssen, Erik Bertrand ;9789522791467;60;56;0;1.1
Ravitsemustiede ;;9789516563766;59;13;0;4.5
Sosiaalisen toiminnan perusta ;;9789524951913;58;11;0;5.3
Joustava mieli parisuhteessa ;Pietikäinen, Arto ;9789516565104;58;18;0;3.2
Good girl : kunpa tietäisit ;Kubica, Mary ;9789150905915;58;40;0;1.5
Hyvää huomenta : raakaruokaa ihaniin hetkiin ;Tykkä, Karita ;9789527054048;58;51;0;1.1
Rajalinja ;Roberts, Nora ;9789164083890;57;1;0;57.0
Neljäs päivä ;Lotz, Sarah ;9789512360673;57;11;0;5.2
Lomaruokaa ;Välimäki, Teresa ;9789527054086;57;13;0;4.4
Sokerit pois! : tervettä järkeä lasten ravitsemukseen ;Jäntti, Hanna ;9789525421651;57;14;0;4.1
Kiltti tyttö ei pääse pomoksi : 101 tapaa hävitä miehelle ;Frankel, Lois P. ;9789521416606;57;19;0;3.0
Kolmas oli ensimmäinen : jännitysromaani ;Lehtiö, Jaana ;9789522026514;57;24;0;2.4
Etiikka hoitotyössä ;Leino-Kilpi, Helena ;9789526329321;57;32;0;1.8
Hellannupit kaakkoon ;Tähkä, Lauri ;9789511286851;56;12;0;4.7
Tuhon siemenet : miksi viljat, hiilihydraatit ja sokerit tuhoavat aivosi ;Perlmutter, David ;9789522602800;56;42;0;1.3
Better than before : mastering the habits of our everyday lives ;Rubin, Gretchen ;9781444768992;55;3;6;6.1
Omavaltaista menettelyä : romaani rakkaudesta ;Andersson, Lena ;9789522342980;55;11;7;3.1
Klassikko : jokaisen miehen tyylikirja ;Raivio, Ville ;9789513180331;55;19;0;2.9
Häijyherneitä ja lempeyslientä : opas lasten ristiriitatilanteiden ehkäisyyn ;Liuska, Kirsi ;9789524516402;54;16;0;3.4
Johdatus kasvatustieteisiin ;Rinne, Risto ;9789524516341;54;29;0;1.9
Kohtalokas Leningradin-matka : rikosromaani ;Panteleimon, metropoliitta ;9789522026552;54;29;0;1.9
Piti sanomani... ;Cleese, John ;9789513184704;54;32;0;1.7
Nälästä nautintoihin : ruoan tarina ;Hämeen-Anttila, Jaakko ;9789511281955;54;33;0;1.6
101 erätaitoa : retkeilijän parhaat vinkit ;Monsen, Lars ;9789522663511;53;6;5;4.8
Bombmakaren och hans kvinna : en roman om ett brott ;Persson, Leif G. W. ;9789100140458;53;15;0;3.5
Yritysjuridiikka ;Kyläkallio, Kalle ;9789513756222;53;15;0;3.5
Sisäinen voima : 365 ajatusta parempaan arkeen ;Belitz-Henriksson, Jenny ;9789522209771;53;25;0;2.1
Valtio vihaa sua : suomalainen punk ja hardcore 1985-2015 ;Similä, Ville ;9789520111687;53;25;0;2.1
Eettinen herkkyys ammatillisessa toiminnassa ;Juujärvi, Soile ;9789512656431;52;11;0;4.7
Saarnaaja ;Läckberg, Camilla ;9789512400485;52;13;0;4.0
Suomen luolat ;Kesäläinen, Tuomo ;9789525774801;52;15;0;3.5
Tulevaisuuden arabi. [1] : Lapsuus Lähi-idässä (1978-1984) ;Sattouf, Riad ;9789510412732;52;25;0;2.1
Upeana juhlaan ;Fry, Janina ;9789511291282;51;21;0;2.4
Hyvän mielen vaatekaappi : ratkaise omat vaatepulmasi ja samalla globaalin muotiteollisuuden epäkohdat ;Saramäki, Rinna ;9789523001312;51;24;0;2.1
F. E. Sillanpää : Nobel-kirjailijan elämä 1888-1964 ;Rajala, Panu ;9789522225290;51;26;0;2.0
Tea-Mariian sisustusopas ;Pyykönen, Tea-Mariia ;9789510410196;51;28;0;1.8
Helsinki ensimmäisessä maailmansodassa : sotasurmat 1917-1918 ;;9789512400867;51;30;0;1.7
Maailman pisin pajunköysi : 101 historiallista harhakäsitystä ;Persson, Åke ;9789523001572;51;39;0;1.3
Kamalan ihanat ihmissuhteet ;Kuvajainen, Juha ;9789529676828;50;6;0;8.3
House of cards ;Dobbs, Michael ;9789511289951;50;38;0;1.3
Viljaton kattaus : upeita makuja gluteenittomista raaka-aineista ;Sjöholm, Emmi-Liia ;9789523001268;50;46;0;1.1
Väristyksiä haudan takaa ;Harris, Charlaine ;9789512098545;50;47;0;1.1
Oivalluksen kynnyksellä ;Hellsten, Tommy ;9789523122055;49;2;0;24.5
Kantaja ;Hotakainen, Kari ;9789526770536;49;23;0;2.1
Biological psychology ;Kalat, James W. ;0495093602;48;4;0;12.0
All the light we cannot see : a novel ;Doerr, Anthony ;9780007548668;48;7;0;6.9
Neljäs uhri ;Jungstedt, Mari ;9789511287483;48;9;0;5.3
Unentaidot : löydä uni ilman lääkkeitä ;Pihl, Susan ;9789516565111;48;15;0;3.2
Ihmeelliset vuodet : ongelmanratkaisuopas 2-8-vuotiaiden lasten vanhemmille ;Webster-Stratton, Carolyn ;9529923066;48;24;0;2.0
Retkipaikka ;;9789522663474;48;27;0;1.8
Eilen, tänään, huomenna : omaelämäkerta ;Loren, Sophia ;9789523121362;48;32;0;1.5
Bios. 1 : Eliömaailma ;;9789526313498;47;7;2;5.2
Ilmiön kaava ;Hilliaho, Lauri ;9789521423895;47;11;0;4.3
Älykääpiöitä ja hengen jättiläisiä ;Varvikko, Kari ;9789529354733;47;4;8;3.9
Tulevaisuuskirja : metodi seuraavan aikakauden ymmärtämiseen ;Wilenius, Markku ;9789511286639;47;23;0;2.0
Jäljitys : rikosromaani ;Palin, Kari ;9789523186286;46;3;0;15.3
Gå med vinst! : affärssvenska för högskolor ;;9789513764975;46;14;0;3.3
Suojelen sinua kaikelta : kuinka rakastaa ja tulla rakastetuksi ;Johnson, Sue ;9789526634104;46;14;0;3.3
Tätä on lean : ratkaisu tehokkuusparadoksiin ;Modig, Niklas ;9789198039337;46;17;0;2.7
Syty valolle : opaskirja valaisinrakenteluun ;Korkala, Anne ;9789513182090;46;22;0;2.1
Epione valmennus. Biologia 2015 ;;9789525723380;45;2;0;22.5
Pitkä etappi : Neuvosto-Venäjän vieraana 1932-1956 ;Helenius, Fanni ;9789526827407;45;5;0;9.0
Finland forevermore : Helsinki 1953-1963 ;Webster, Diana ;9789515237187;45;2;4;7.5
