Nimike;Tekijä;ISBN;Varauksia;Niteitä;Tilattuja lisäkappaleita;Varauksia / nide
Think like a freak : how to think smarter about almost everything ;Levitt, Steven D. ;9780141980119;20;4;0;5.0
This idea must die : scientific theories that are blocking progress ;;9780062374349;20;4;0;5.0
Understanding social media : how to create a plan for your business that works ;Ryan, Damian ;9780749473563;20;4;0;5.0
Varallisuusoikeus ;;9789526301228;20;5;0;4.0
Vege! : tuoreita makuja kotikeittiöstä ;Nieminen, Alex ;9789523211216;20;5;0;4.0
Elämisen arvoista ;Koivu, Tommi ;9789524756976;20;6;0;3.3
Pidä projekti hallinnassa : suunnittelu, menetelmät, vuorovaikutus ;Ruuska, Kai ;9789521419416;20;6;0;3.3
Terveisiä pomolle ;Rötkin, Laura ;9789521425479;20;6;0;3.3
Uskonnonopetus uudella vuosituhannella ;;9516072348;20;6;0;3.3
Konsten att städa : [förenkla ditt liv med ett organiserat hem] ;Kondo, Marie ;9789163611087;20;7;0;2.9
Mentalisaatioon perustuva hoito : epävakaan persoonallisuushäiriön käytännön hoito-opas ;Bateman, Anthony ;9789525519280;20;7;0;2.9
Peruskoulun uskonnonopetus ;Ubani, Martin ;9789524516006;20;7;0;2.9
Asiakastyön menetelmiä sosiaalialalla ;;9789513766559;20;8;0;2.5
Henkilökohtaisen tulon verotus ;Myrsky, Matti ;9789521421785;20;8;0;2.5
Elva dagar i Berlin : roman ;Nesser, Håkan ;9789100145828;20;9;0;2.2
Asiakaskokemus : palvelubisneksestä kokemusbisnekseen ;Löytänä, Janne ;9789521416118;20;10;0;2.0
Vuorovaikutus : kehitys, riskit ja tukeminen kuntoutuksen keinoin ;Launonen, Kaisa ;9789515804303;20;10;0;2.0
Kaksinaamaisen miehen kuolema ;Porma, Maija ;9789526835907;20;4;7;1.8
Kerrasta poikki : vapaaksi pakko-oireista ja rituaaleista ;Foa, Edna B. ;9789525174496;20;12;0;1.7
Palvelumuotoilu ;Tuulaniemi, Juha ;9789521415517;20;13;0;1.5
Pohjoismaisia yhteyksiä : Saksan vallan varjossa 1940-1944 ;Reimaa, Markku ;9789522911735;20;13;0;1.5
Johdon laskentatoimi ;Neilimo, Kari ;9513741095;20;14;0;1.4
Malleus Maleficarum : noitavasara ;Kramer, Heinrich ;9789525774610;20;14;0;1.4
Hurja kopla ;Bonelli, Gianluigi ;9789522338440;20;15;0;1.3
Keho : anatomia ja fysiologia ;Vierimaa, Heidi ;9789510343043;20;16;0;1.3
Musiikkia taivaan holveissa : Johann Sebastian Bach : muotokuva ;Gardiner, John Eliot ;9789529351060;20;11;5;1.3
Rakastan, siis olen ;Jenniemilia ;9789510400548;20;16;0;1.3
Klassinen sosiologia ja moderni maailma ;Aro, Jari ;978951035263;20;18;0;1.1
Megan lemmen laineilla ;Roberts, Nora ;9789164083449;19;1;0;19.0
The fresh foodie ;Lindholm, Leila ;9789197859967;19;1;0;19.0
Yövartio ;Waters, Sarah ;9789513179465;19;2;0;9.5
Blood on snow : [a novel] ;Nesbø, Jo ;9780804194884;19;3;0;6.3
Service design with theory : discussions on change, value and methods ;;9789524845519;19;3;0;6.3
Brain maker : the power of gut microbes to heal and protect your brain - for life ;Perlmutter, David ;9781473619357;19;2;2;4.8
Start with why : how great leaders inspire everyone to take action ;Sinek, Simon  ;9780241958223;19;4;0;4.8
"Nehän kuunteli meitä!"" : dialogeja monissa suhteissa ";Arnkil, Tom Erik ;9789523024014;19;5;0;3.8
Henkinen sodankäynti ;McKenna, Jed ;9789529676811;19;5;0;3.8
Ihmeiden oppikurssia selkosuomeksi. I : Kirjan syntyä ja sanomaa selventäviä artikkeleita ja esitelmiä ;Pelkonen, Pirkko ;9789526768519;19;5;0;3.8
Kehäbulevardit ;Modiano, Patrick ;9510077070;19;5;0;3.8
To kill a mockingbird ;Lee, Harper ;9780434020485;19;5;0;3.8
Zero to one : notes on startups, or how to build the future ;Thiel, Peter ;9780753555200;19;5;0;3.8
No pasarán! : Espanjan sisällissodan kulttuurihistoriaa ;;9789525976342;19;3;2;3.8
Polku sisäiseen harjoitteluun : keho, hengitys, mieli, tunne ja energia ;Hakkarainen, Tarmo ;9789522869647;19;6;0;3.2
Yritysverotus ja tilinpäätössuunnittelu ;Tomperi, Soile ;9789526333649;19;6;0;3.2
Eurooppaoikeus ja sisämarkkinat ;Raitio, Juha ;9789521419423;19;7;0;2.7
Terveyden edistäminen : teorioista toimintaan ;;9789510318652;19;7;0;2.7
Kuin surmaisi satakielen ;Lee, Harper ;9512025809;19;8;0;2.4
Vaiettu muinaisuus ;Nieminen, Jukka E. ;9789525774849;19;8;0;2.4
Kuntosaliharjoittelun anatomia : valmentajan syvälliset treeniohjeet ;Manocchia, Pat ;9789523210769;19;9;0;2.1
Valokaaria ;Blomberg, Kristian ;9789523050310;19;9;0;2.1
Näköaloja uskontoon ;;9515704227;19;10;0;1.9
Sosiaalityö ja teoria ;;9789524513982;19;10;0;1.9
Lääkelaskenta ;;9789510353820;19;13;0;1.5
Rouva Katarina Boije ja hänen tyttärensä : kertomus isonvihan ajoilta ;Runeberg, Fredrika ;9510104647;19;16;0;1.2
Systemaattinen johdatus kasvatustieteeseen ;Siljander, Pauli ;9511184393;19;16;0;1.2
Tavallisen erityinen lapsi : yhdessä tekemisen toimintamalleja ;Määttä, Paula ;9789524514422;19;16;0;1.2
Lukion biologia. [2] : Solu ja perinnöllisyys ;;9789511234654;19;17;0;1.1
Aistimusten aallokossa : sensorisen integraation häiriö ja terapia ;Ayres, A. Jean ;9789524511803;19;18;0;1.1
Essentials of human anatomy & physiology ;Marieb, Elaine N. ;9780321544117;18;1;0;18.0
Musta ruusu ;Roberts, Nora ;9512073048;18;1;0;18.0
Neljän armeijan vankina ;Ritala, Juha ;9789522359025;18;1;0;18.0
Suzanna avaa sydämensä ;Roberts, Nora ;9789164082954;18;1;0;18.0
Tontun aarrearkku : neuropsykologinen liikunta-, tanssi- ja musiikkiohjelma ;;9789515803290;18;1;0;18.0
Designing services with innovative methods ;;9789525018424;18;1;1;9.0
Principles of corporate finance ;Brealey, Richard A. ;9780077151560;18;2;0;9.0
Reaktio : lukion kemia. 3 : Reaktiot ja energia ;;9789526303239;18;2;0;9.0
Girlboss ;Amoruso, Sophia ;9780241217931;18;1;2;6.0
Give and take : a revolutionary approach to success ;Grant, Adam  ;9781780224725;18;3;0;6.0
Ihminen pääosassa : valokuvia suomalaisista ;Hölttö, Ismo ;9519983554;18;3;0;6.0
Kärsimyksen tarkoitus ;Puolimatka, Tapio ;9789522521545;18;3;0;6.0
Psykoterapeuttinen hoitosuhde ;;9789516565180;18;3;0;6.0
Elämän kartoitus alias Moog Konttinen - lied. Osa III : [1976-1985] ;Konttinen, Moog ;9789525938425;18;4;0;4.5
Pohjantuuli. 3 : Sodan ja toivon kuohuissa ;Koskenkylä, Pirkko ;9789526770345;18;4;0;4.5
Where she went ;Forman, Gayle ;9780857530288;18;4;0;4.5
ZeroZeroZero ;Saviano, Roberto ;9781846147692;18;4;0;4.5
Girl in a band : a memoir ;Gordon, Kim ;9780571313839;18;5;0;3.6
Tantra : länsäolon ja hyväksynnän kautta muutokseen ;Limnell, Shanti ;9789527052082;18;5;0;3.6
Kokkikoulu : kotikokista mestarikokiksi ;Lempinen, Matti ;9789523210394;18;6;0;3.0
Muistin tehostaminen : ohjeita, ideoita ja keinoja muistin tehostamiseen kaikenikäisille ;Kauppila, Reijo A. ;9789529350865;18;6;0;3.0
The one thing : the surprisingly simple truth behind extraordinary results ;Keller, Gary   ;9781848549258;18;6;0;3.0
Anastasia ;Megre, Vladimir ;9789949301027;18;7;0;2.6
Klassinen sosiologia ja moderni maailma ;Aro, Jari ;9789522911971;18;7;0;2.6
Mentalisaatio perheiden kohtaamisessa ;;9789525082869;18;7;0;2.6
We were liars ;Lockhart, E. ;9781471403989;18;7;0;2.6
Kehittyvä kirjanpitotaito ;Tomperi, Soile ;9789513766856;18;8;0;2.3
Tieto : tietojohtamisen arkkitehtuurit ;Stenberg, Martin ;9511208195;18;8;0;2.3
Vapauta energiasi, toteuta itseäsi ;Chopra, Deepak ;9789511295167;18;8;0;2.3
Sosiaalityön käsikirja ;;9789518853384;18;10;0;1.8
Yhteistoiminnallinen oppiminen ja osallistava kasvatus ;Saloviita, Timo ;9524511525;18;10;0;1.8
Eino Leinon Helkavirsiä ;;9789522702333;18;11;0;1.6
Opi ja ohjaa sosiaali- ja terveysalalla ;;9789526327419;18;11;0;1.6
Oletko Maaenkeli? ;Virtue, Doreen ;9789526651064;18;12;0;1.5
Terve!. 1 : Terveyden perusteet : lukion terveystieto ;;9789526308456;18;12;0;1.5
Yleinen rikosoikeus ;Frände, Dan ;9789513761295;18;12;0;1.5
Kansan ja johtajan puolesta : vapaaehtoisena 1. SS-panssaridivisioonassa ;Bartmann, Erwin ;9789522291585;18;13;0;1.4
Kirjanpito, tilinpäätös ja tilinpäätöksen tulkinta ;Leppiniemi, Jarmo ;9789526316246;18;13;0;1.4
Liikuntalääketiede ;;9789516564015;18;13;0;1.4
Menestyksen timantti : strategia, johtaminen, osaaminen, vuorovaikutus ;Kamensky, Mika ;9789521422836;18;13;0;1.4
Ulos oppimaan! : sata ideaa ulko-opetukseen ;Tampio, Henna ;9789524516259;18;14;0;1.3
Mieli ja aivot : kognitiivisen neurotieteen oppikirja ;;951293177X;18;15;0;1.2
Tilastollinen tutkimus ;Heikkilä, Tarja ;9789513764951;18;15;0;1.2
Psykiatria ;;9789516564008;18;16;0;1.1
Hevossaaren vanki : tyttöromaani ;Jalo, Merja ;9512033631;17;2;0;8.5
Hyväksy itsesi, uskalla elää! ;Dyer, Wayne W. ;9511193163;17;2;0;8.5
Just kids ;Smith, Patti ;9780747568766;17;2;0;8.5
A little life ;Yanagihara, Hanya  ;9781447294818;17;2;2;4.3
Flashpoints : the emerging crisis in Europe ;Friedman, George ;9780385539722;17;4;0;4.3
Hoitamalla hyvää oloa ;;9789526306957;17;4;0;4.3
Rakenteellinen sosiaalityö ;;9789515794772;17;3;1;4.3
The revolving door of life : a 44 Scotland Street novel ;McCall Smith, Alexander ;9781846973284;17;4;0;4.3
The slow regard of silent things ;Rothfuss, Patrick ;9781473209329;17;5;0;3.4
Anatomy trains : myofaskiaaliset meridiaanit kuntoutuksen ja liikunnan ammattilaisille ja opiskelijoille ;Myers, Thomas W. ;9789519147659;17;6;0;2.8
Maskrosgudens barn : roman ;Forsblom, Sabine ;9789515236852;17;6;0;2.8
Työyhteisön vuosi : sosiaalipsykologinen selviytymisopas ;Pohjanheimo, Esa ;9789521423925;17;6;0;2.8
Göra sig kvitt Eddy Bellegueule ;Louis, Édouard ;9789146226567;17;7;0;2.4
Hankintojen johtaminen : ostamisesta toimittajamarkkinoiden hallintaan ;Iloranta, Kari ;9789518853889;17;7;0;2.4
Ei rajoja : takaisin nollatilaan : muinainen salainen havaijilainen Ho'oponopono-menetelmä vaurauden, terveyden, rauhan ja muiden asioiden saavuttamiseksi ;Vitale, Joe ;9789529676644;17;8;0;2.1
Entsyymien parantava voima : läpimurto ravitsemuksessa ;Euler, Lee ;9789525965209;17;8;0;2.1
Etiikka hoitotyössä ;Leino-Kilpi, Helena ;9510279366;17;9;0;1.9
Johdatus varallisuusoikeuteen ;Kaisto, Janne ;9789521420627;17;9;0;1.9
Terveydenhoitajan osaaminen ;;9789513764906;17;9;0;1.9
Euroopan ihmisoikeussopimus ;;9789521414442;17;10;0;1.7
Hengitys itsesäätelyn ja vuorovaikutuksen tukena ;;9789522358394;17;10;0;1.7
Johdatus Suomen verojärjestelmään ;Niskakangas, Heikki ;9789521424069;17;10;0;1.7
Vuorovaikutus- ja sosiaaliset taidot : vuorovaikutusopas opettajille ja opiskelijoille ;Kauppila, Reijo ;9524511150;17;10;0;1.7
Lukion syke. 1 : Terveyden perusteet ;;9789513758301;17;11;0;1.5
Opetusluvalla opettamaan 2014 : ohjeet opetusluvan hankintaan ja B-ajokortin perusvaiheen suorittamiseen opetusluvalla, opettajan opas teoria- ja ajo-opetuksen järjestämiseksi, oppilaan oppikirja ja työkirja liikennesääntöjen opiskeluun ;Karvanen, Erkki ;9789526790213;17;11;0;1.5
Puu-Pasila : idylli rautatien varrella ;;9789525805710;17;11;0;1.5
Aistiseikkailu : elämyksiä ja toimintaa koko vuodeksi ;Saarinen, Sanna Leena ;9789524516266;17;14;0;1.2
Lähihoitajana yhteiskunnassa ;Pursiainen, Sirpa ;9789513766245;17;14;0;1.2
Tekniikan viestintä : kirjoittamisen ja puhumisen käsikirja ;Kauppinen, Anneli ;9789513757373;17;16;0;1.1
Tämän elämäni aakkoset ;Mäkelä, Hannu ;9789522155955;17;16;0;1.1
1984 : a novel ;Orwell, George ;9780451524935;16;1;0;16.0
Paulin paloauto ;Nesme, Alexis, kuv. ;9789516189294;16;1;0;16.0
Taisteluni. 2. osa : Kansallissosialistinen liike ;Hitler, Adolf ;kr20269870;16;1;0;16.0
Audrey at home : memories of my mother's kitchen with recipes, photographs, and personal stories ;Dotti, Luca ;9780062284709;16;1;1;8.0
How to be a heroine, or, What I've learned from reading too much ;Ellis, Samantha ;9780099575566;16;1;1;8.0
Ardennes 1944 : Hitler's last gamble ;Beevor, Antony ;9780670918645;16;3;0;5.3
Healing yoga : proven postures to treat twenty common ailments from backache to bone loss, shoulder pain to bunions, and more ;Fishman, Loren ;9780393078008;16;3;0;5.3
Henkäyksen taiteella parantaminen : Perinteisen kiinalaisen lääketieteen perusteos ;Padilla Corral, José Luis ;9789526829203;16;3;0;5.3
Käytännön arvonlisäverotus ;Jokinen, Miika ;9789522182203;16;3;0;5.3
The Photoshop workbook : professional retouching and compositing tips, tricks, and techniques ;Dewis, Glyn ;9780134008462;16;3;0;5.3
The millionaire next door : the surprising secrets of America's wealthy ;Stanley, Thomas J.  ;9781589795471;16;3;0;5.3
Arvonlisäverotus käytännössä ;Äärilä, Leena ;9789521425110;16;4;0;4.0
Tilinpäätösanalyysi ;Kallunki, Juha-Pekka ;9789521421952;16;4;0;4.0
Lusikasta luotua : kierrätä luovasti arkeen ja juhlaan ;Lahti, Anu ;9789522990853;16;5;0;3.2
Elämänlaajuinen oppiminen ja aikuiskasvatus ;;9519140085;16;6;0;2.7
Varhaiskasvatuksen käsikirjan työkirja ;;9789524516204;16;6;0;2.7
Lapsiperheiden hyvinvointi 2014 ;;9789523022690;16;7;0;2.3
Pretty girls ;Slaughter, Karin ;9781780893556;16;7;0;2.3
Testaa unelmasi : 10 kysymystä, jotka auttavat sinua saavuttamaan unelmasi ;Maxwell, John C. ;9789525182330;16;7;0;2.3
The Kizuna Coast ;Massey, Sujata  ;9780983661054;16;7;0;2.3
Uskonnon paikka ;;9517466285;16;7;0;2.3
Kansanterveystiede ;;9789526302775;16;8;0;2.0
Lapsuus : erityinen elämänvaihe ;;9789526314990;16;8;0;2.0
Sattuman kauppaa Wall Streetillä ;Malkiel, Burton G. ;9789521418785;16;8;0;2.0
Tekstiilitaidetta luonnosta ;Arha, Soili ;9789523010499;16;8;0;2.0
Way to welfare : English for social services ;Saarinen, Kirsi ;9789511229469;16;8;0;2.0
Lejontämjaren ;Läckberg, Camilla ;9789137144450;16;9;0;1.8
Olen elänyt ennenkin : lasten muistoja edellisestä elämästään ;Tucker, Jim B. ;9789522602886;16;9;0;1.8
Digimarkkinointi ja sosiaalinen media liiketoiminnassa : miten yritykset voivat saavuttaa tuloksia digimarkkinoinnilla ja sosiaalisella medialla? ;Kananen, Jorma ;9789518302677;16;10;0;1.6
Girl online ;Sugg, Zoe ;9780141357270;16;10;0;1.6
Itte tein ja kierrätin : inspiraatiota ja ideoita kierrätyskäsitöihin ;Palomaa, Mariko ;9789523180420;16;12;0;1.3
Geriatria ;;9789516563148;16;13;0;1.2
Turvallisen lääkehoidon perusteet ;Taam-Ukkonen, Minna ;9789526306285;16;13;0;1.2
Autismin kirjo ja kuntoutus ;Kerola, Kyllikki ;9789524513999;16;15;0;1.1
Blod på snö ;Nesbø, Jo ;9789164204349;16;15;0;1.1
Hoida ja kirjaa ;Iivanainen, Ansa ;9789526301655;16;15;0;1.1
Data and Goliath : the hidden battles to collect your data and control your world ;Schneier, Bruce ;9780393244816;15;1;0;15.0
Karitsa ja Leijona : Ilmestyskirja kaikelle kansalle ;Ranta, Erkki ;9789518887198;15;1;0;15.0
Almost heaven ;McNaught, Judith ;9780552168519;15;2;0;7.5
Iloa tuhkan sijaan : messiaanisen juutalaisen Michael Yaronin tarina ;Taival, Kaija ;9789524757188;15;2;0;7.5
Neurovelho ;Gibson, William ;9510193062;15;2;0;7.5
Verikuut : lähestyvien taivaanmerkkien profeetallinen sanoma ;Biltz, Mark ;9789515852915;15;2;0;7.5
Wellness syndrome ;Cederström, Carl ;9780745655611;15;1;1;7.5
Brush back ;Paretsky, Sara ;9781444758726;15;3;0;5.0
Cracking the GMAT® ;Martz, Geoff ;9780307945655;15;3;0;5.0
Annihilation ;VanderMeer, Jeff ;9780007550715;15;4;0;3.8
Biomekaniikkaa liikunnan ja terveydenhuollon ammattilaisille ;Kauranen, Kari ;9789518982817;15;4;0;3.8
Päällys: Erkki Tanttu : kirjankansitaidetta seitsemältä vuosikymmeneltä ;Tanttu, Markku ;9789526778051;15;4;0;3.8
Tuon heidät takaisin : ja he saavat asua siinä maassa jonka Minä heille annoin ;Sartola, Pekka ;9789527027073;15;4;0;3.8
Uskonnon paikka ;;9789522221209;15;4;0;3.8
Viisauden eliksiiri : antiikin kreikkalaista viisautta arabialaisista lähteistä ;;9529842171;15;4;0;3.8
Väriä ja voimaa : parhaat ruokavalinnat diabeteksen hoidossa ja ehkäisyssä ;Aro, Eliina ;9789516565203;15;4;0;3.8
Ymmärrämmekö näkemäämme? : visuaalisen hahmottamisen häiriöt ;Isomäki, Heli ;9789513960308;15;4;0;3.8
Blood, salt, water ;Mina, Denise ;9781409140740;15;5;0;3.0
Porovuosi : tutkija pororenkinä Sompiossa ;Helle, Timo ;9789523010277;15;5;0;3.0
Elinkeinotulon verotus ;Myrsky, Matti ;9789521420917;15;6;0;2.5
Fifty shades. 2 : Satutettu ;James, E. L. ;9789511275305;15;6;0;2.5
Puhetta tukevat ja korvaavat kommunikointimenetelmät Suomessa ;;9789515805256;15;6;0;2.5
Yhteisöt ja sosiaalityö : kansalaisen vai asiakkaan asialla? ;;9789524511902;15;7;0;2.1
Kääpiöitä ja jättiläisiä ;Varvikko, Kari ;9789529344697;15;8;0;1.9
Matkalla ohjaajuuteen ;;9789522470553;15;8;0;1.9
Pinball, 1973  Hear the wind sing : two novels ;Murakami, Haruki  ;9781846558351;15;8;0;1.9
Siirros ;Howey, Hugh ;9789520111892;15;8;0;1.9
Basic facts of food hygiene ;Laukkanen, Marja ;9789526739755;15;9;0;1.7
Kävelemisen taito ;Thoreau, Henry David ;9789522601131;15;9;0;1.7
Pitkä matematiikka. 2 : Polynomifunktiot ;;9789526305554;15;9;0;1.7
Tulevaisuuden johtaminen 2020 : älykkään johtamisen näkökulmia ;;9789529958221;15;9;0;1.7
Ajattele oikein - menesty! ;Hill, Napoleon ;9789529216659;15;10;0;1.5
Mitä jokaisen kotiäidin (ja muidenkin naisten) tulee tietää sijoittamisesta ;Myllyoja, Ninni ;9789521417016;15;10;0;1.5
Käännetyt maailmat : johdatus käännösviestintään ;;9789524953467;15;11;0;1.4
Porukka, jengi, tiimi : ryhmädynamiikka ja siihen vaikuttaminen ;Kopakkala, Aku ;9789513761257;15;11;0;1.4
Seksuaalisuus ;;9789516562158;15;11;0;1.4
Hyvinvoinnin vakuutusyhtiö : mistä SOTE-uudistuksessa on kysymys? ;Hiilamo, Heikki ;9789522643780;15;12;0;1.3
Hyvää! : gluteeniton keittiö ;Virtanen, Kaarina ;9789511289432;15;12;0;1.3
Meidän koulu : keinoja työrauhan ja hyvän ilmapiirinsaavuttamiseen ;;9789524514194;15;13;0;1.2
Hyvän kaveruuden avaimet ;Juusola, Mervi ;9789527060018;15;14;0;1.1
Värit havaintojen maailmassa ;Arnkil, Harald ;9789515582379;15;14;0;1.1
Flourish : a visionary new understanding of happiness and well-being ;Seligman, Martin E. P. ;9781439190753;14;1;0;14.0
Joni & Ken : toisenlainen rakkaustarina ;Tada, Ken ;9789515853035;14;1;0;14.0
Lohikäärmeiden kesyttäminen : luovia rentoutusharjoituksia lapsille ;Belknab, Martha ;9519446494;14;1;0;14.0
Löydä todellinen tasapainosi ;Choquette, Sonia ;9525231402;14;1;0;14.0
Seireeni ;Reisz, Tiffany ;9789164074447;14;1;0;14.0
Sisaren valinta ;Richards, Emilie ;9789164084996;14;1;0;14.0
Taivaallinen tyrmäys ;Kaski, Teemu ;9789522521842;14;1;0;14.0
This is service design thinking : basics, tools, cases ;;9789063692797;14;1;0;14.0
Ulkopolitiikkaa norsunluutornista ;Pursiainen, Christer ;9789526804828;14;1;0;14.0
Yin yoga : outline of a silent practice ;Grilley, Paul ;9781883991432;14;1;0;14.0
How to win friends and influence people ;Carnegie, Dale ;9780091906818;14;2;0;7.0
Irti noidankehästä : alkoholistien aikuiset lapset ;Woititz, Janet G. ;9516219462;14;2;0;7.0
Managing and organizations : an introduction to theory and practice ;Clegg, Stewart ;9781412948784;14;2;0;7.0
Rakennamme parisuhdetta ;Fisher, Bruce ;951974634X;14;2;0;7.0
The improbability principle : why coincidences, miracles and rare events happen all the time ;Hand, David ;9780552170192;14;2;0;7.0
To all the boys I've loved before ;Han, Jenny ;9781442426702;14;2;0;7.0
1000 quilt inspirations : colorful and creative designs for traditional, contemporary, and art quilts ;Sider, Sandra ;9781592539840;14;3;0;4.7
Ammatillisuus ja ammatillinen kasvu ;;9519140255;14;3;0;4.7
EFT - tunteiden vapautustekniikat ;Craig, Gary ;9789525965285;14;3;0;4.7
Ihmeitä tapahtuu : alkoholiongelmien ratkaisukeskeinen hoito ;Berg, Insoo Kim ;9519594639;14;3;0;4.7
Innovators : how a group of hackers, geniuses and geeks created the digital revolution ;Isaacson, Walter ;9781471138799;14;3;0;4.7
It's kind of a funny story ;Vizzini, Ned  ;9780786851973;14;3;0;4.7
Johdatus Raamattuun ;Kuula, Kari ;9789516076488;14;3;0;4.7
Not always a saint ;Putney, Mary Jo ;9781420127171;14;3;0;4.7
Salad samurai : 100 cutting-edge, ultra-hearty, easy-to-make salads you don't have to be vegan to love ;Romero, Terry Hope ;9780738214870;14;2;1;4.7
Satavuotias joka karkasi ikkunasta ja katosi ;Jonasson, Jonas ;9789510414828;14;3;0;4.7
Seveneves ;Stephenson, Neal ;9780008132514;14;2;1;4.7
Southeast Asia on a shoestring ;;9781742207537;14;3;0;4.7
Terveyden edistäminen tutkimuksen ja päätöksenteon haasteena ;;9789522452719;14;3;0;4.7
The almost nearly perfect people : behind the myth of the Scandinavian utopia ;Booth, Michael ;9780099546078;14;3;0;4.7
The second machine age : work, progress, and prosperity in a time of brilliant technologies ;Brynjolfsson, Erik ;9780393239355;14;3;0;4.7
The three-body problem ;Liu, Cixin ;9780765377067;14;3;0;4.7
Uhkapeli ilmastolla : vaarantaako ydinvoiman vastustus maailman tulevaisuuden? ;Korhonen, Janne M. ;9789527139011;14;1;2;4.7
Varhaiskasvatuksen perusteita ja haasteita ;Ojala, Mikko ;9512638150;14;3;0;4.7
Fashion sewing : advanced techniques ;Amaden-Crawford, Connie ;9781472532664;14;4;0;3.5
Hidden riches ;Roberts, Nora ;9780349407951;14;4;0;3.5
Infinite jest : a novel ;Wallace, David Foster ;9780349121086;14;4;0;3.5
Jeesus ja elämisen taito ;Kariranta, Kaisa ;9789522880574;14;4;0;3.5
Superintelligence : path, dangers, strategies ;Bostrom, Nick ;9780199678112;14;4;0;3.5
Perusoikeusjuridiikka ;Ojanen, Tuomas ;9789521055614;14;5;0;2.8
Rockin' is our business : 30 vuotta suomalaista rock'n'roll-elämää 1982-2012 ;Salmi, Janne ;9789529357246;14;5;0;2.8
The power of now : a guide to spiritual enlightment ;Tolle, Eckhart ;0340733500;14;5;0;2.8
Arvioinnista opiksi : havainnointi, arviointi ja suunnittelu varhaispedagogiikassa ;Heikka, Johanna ;9789525185522;14;6;0;2.3
Eurooppa ja Suomi islamisoituvat ;Ahvio, Juha ;9789515853028;14;6;0;2.3
Red notice : how I became Putin's no. 1. enemy ;Browder, Bill ;9780593072950;14;6;0;2.3
Tutkimuksen tekemisen perusteet ihmistieteissä ;Metsämuuronen, Jari ;9525372154;14;6;0;2.3
Ydinperheen politiikka ;Yesilova, Katja ;9789524950947;14;6;0;2.3
Ainutlaatuiset kartat : maailma kartantekijöiden silmin ;Brotton, Jerry ;9789522209689;14;7;0;2.0
Barfotaflickan : roman ;Janouch, Katerina ;9789164204332;14;7;0;2.0
Billy ja Ruth Grahamin elämä : yhteinen henkinen perintö ;Nüesch, Hanspeter ;9789524756907;14;7;0;2.0
Finders keepers : a novel ;King, Stephen ;9781473698994;14;6;1;2.0
Maahanmuuttajien oppimisvaikeudet ;;9789521338793;14;7;0;2.0
Marketing management ;Kotler, Philip ;9780273753360;14;7;0;2.0
Ihmiskaupan kasvot ;Rendic, Pia ;9789516195998;14;8;0;1.8
Monikulttuurinen ohjaus- ja neuvontatyö ;;9789524515764;14;8;0;1.8
Paroni puussa ;Calvino, Italo ;9513005178;14;8;0;1.8
Länsimaisen filosofian historia huipulta huipulle Sokrateesta Marxiin ;Saarinen, Esa ;9510228389;14;9;0;1.6
Teollisuustalous ;;9789519676562;14;9;0;1.6
Vegaanin keittiössä : parempaa arkiruokaa kasviksista ;Innanen, Elina ;9789523211124;14;9;0;1.6
Kasvun ja hoidon osaaja ;Kivelä, Niina ;9789526326559;14;10;0;1.4
Koruja käpyilemällä ;Morton, Lyn ;9789522542496;14;10;0;1.4
Kun kuulet laulun varjojen ;Dannebey, Annmari ;9789522026446;14;10;0;1.4
Kukkasuutarin sielu ;Mörö, Mari ;9789526788210;14;11;0;1.3
Neurologia ;;9516561640;14;11;0;1.3
Practice first : basic grammar for working life ;Lönnrot, Ildikó ;9789513752262;14;11;0;1.3
Strategiakirja : 20 työkalua ;Vuorinen, Tero ;9789521420603;14;11;0;1.3
Taidekasvatus varhaiskasvatuksessa : iloa, ihmettelyä ja tekemistä ;;9789522451378;14;11;0;1.3
Tunne minut! : turva ja tunteet lapsen silmin ;Kanninen, Katri ;9789524515511;14;11;0;1.3
Emotional Intelligence 2.0 ;Bradberry, Travis ;9780974320625;13;1;0;13.0
Ensisilmäyksellä ;Roberts, Nora ;9789164066992;13;1;0;13.0
London : a travel guide through time ;Green, Matthew ;9780718179762;13;1;0;13.0
Lär dig leva : mindre stress - mer närvaro ;Billmark, Mats ;9789197260008;13;1;0;13.0
Sannan pikkuveli on sairas ;Wolde, Gunilla ;951303190X;13;1;0;13.0
Sigma : lukion lyhyt matematiikka. 5 : Tilastot ja todennäköisyys ;;9789526313528;13;1;0;13.0
Vallaton viisikko ;Wiggs, Susan ;9789164091093;13;1;0;13.0
Rukouksia elämän arjesta ;Quoist, Michel ;9516006787;13;2;0;6.5
Seksi ja kohtalo : valintojen vaikutuksia ja seurauksia ;Xavier, Francisco Cândido ;9789527030059;13;1;1;6.5
Shape shape 2 : sewing for minimalist style ;Hiraiwa, Natsuno ;9781596687578;13;2;0;6.5
Urheiluautot Suomessa 1950-84 : Eltsua, Keimolaa, Ahvenistoa, jäärataa ja muita kisoja ;Lehtinen, Tapani ;9789526728148;13;2;0;6.5
We should all be feminists ;Adichie, Chimamanda Ngozi  ;9780008115272;13;2;0;6.5
Billions to bust - and back : how I made, lost and rebuilt a fortune, and what I learned on the way ;Thor Björgolfsson ;9781781253694;13;3;0;4.3
Den man älskar ;Jungstedt, Mari ;9789143013924;13;1;2;4.3
Home front  ;Hannah, Kristin ;9781447207610;13;1;2;4.3
